INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('1', '수확비용', '14400000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('32', '기타운영비', '3680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('33', '수확비용', '12100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('33', '열매선별비용', '1815000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('33', '기타운영비', '4840000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('34', '수확비용', '12100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('34', '열매선별비용', '1815000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('34', '기타운영비', '4840000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('35', '수확비용', '11900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('35', '열매선별비용', '1785000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('35', '기타운영비', '4760000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('36', '수확비용', '11900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('36', '열매선별비용', '1785000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('36', '기타운영비', '4760000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('37', '수확비용', '11900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('37', '열매선별비용', '1785000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('37', '기타운영비', '4760000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('38', '수확비용', '7200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('38', '열매선별비용', '1080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('38', '기타운영비', '2880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('39', '수확비용', '7200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('39', '열매선별비용', '1080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('39', '기타운영비', '2880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('40', '수확비용', '7200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('40', '열매선별비용', '1080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('40', '기타운영비', '2880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('41', '수확비용', '7200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('41', '열매선별비용', '1080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('41', '기타운영비', '2880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('42', '수확비용', '6200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('42', '열매선별비용', '930000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('42', '기타운영비', '2480000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('43', '수확비용', '6200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('43', '열매선별비용', '930000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('43', '기타운영비', '2480000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('44', '수확비용', '6200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('44', '열매선별비용', '930000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('44', '기타운영비', '2480000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('45', '수확비용', '6200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('45', '열매선별비용', '930000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('45', '기타운영비', '2480000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('46', '수확비용', '9800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('46', '열매선별비용', '1470000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('46', '기타운영비', '3920000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('47', '수확비용', '9800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('47', '열매선별비용', '1470000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('47', '기타운영비', '3920000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('48', '수확비용', '6100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('48', '열매선별비용', '915000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('48', '기타운영비', '2440000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('49', '수확비용', '6100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('49', '열매선별비용', '915000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('49', '기타운영비', '2440000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('50', '수확비용', '6100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('50', '열매선별비용', '915000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('50', '기타운영비', '2440000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('51', '수확비용', '6100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('51', '열매선별비용', '915000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('51', '기타운영비', '2440000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('52', '수확비용', '14900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('52', '열매선별비용', '2235000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('52', '기타운영비', '5960000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('53', '수확비용', '14900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('53', '열매선별비용', '2235000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('53', '기타운영비', '5960000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('54', '수확비용', '14900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('54', '열매선별비용', '2235000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('54', '기타운영비', '5960000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('55', '수확비용', '14900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('55', '열매선별비용', '2235000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('55', '기타운영비', '5960000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('56', '수확비용', '12700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('56', '열매선별비용', '1905000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('56', '기타운영비', '5080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('57', '수확비용', '12700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('57', '열매선별비용', '1905000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('57', '기타운영비', '5080000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('58', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('58', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('58', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('59', '수확비용', '8200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('59', '열매선별비용', '1230000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('59', '기타운영비', '3280000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('60', '수확비용', '11500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('60', '열매선별비용', '1725000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('60', '기타운영비', '4600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('61', '수확비용', '11500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('61', '열매선별비용', '1725000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('61', '기타운영비', '4600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('62', '수확비용', '11500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('62', '열매선별비용', '1725000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('62', '기타운영비', '4600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('63', '수확비용', '11500000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('63', '열매선별비용', '1725000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('63', '기타운영비', '4600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('64', '수확비용', '4200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('64', '열매선별비용', '630000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('64', '기타운영비', '1680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('65', '수확비용', '4200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('65', '열매선별비용', '630000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('65', '기타운영비', '1680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('66', '수확비용', '4200000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('66', '열매선별비용', '630000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('66', '기타운영비', '1680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('67', '수확비용', '9000000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('67', '열매선별비용', '1350000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('67', '기타운영비', '3600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('68', '수확비용', '9000000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('68', '열매선별비용', '1350000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('68', '기타운영비', '3600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('69', '수확비용', '9000000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('69', '열매선별비용', '1350000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('69', '기타운영비', '3600000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('70', '수확비용', '6700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('70', '열매선별비용', '1005000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('70', '기타운영비', '2680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('71', '수확비용', '6700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('71', '열매선별비용', '1005000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('71', '기타운영비', '2680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('72', '수확비용', '6700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('72', '열매선별비용', '1005000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('72', '기타운영비', '2680000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('73', '수확비용', '13900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('73', '열매선별비용', '2085000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('73', '기타운영비', '5560000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('74', '수확비용', '13900000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('74', '열매선별비용', '2085000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('74', '기타운영비', '5560000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('75', '수확비용', '6300000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('75', '열매선별비용', '945000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('75', '기타운영비', '2520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('76', '수확비용', '6300000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('76', '열매선별비용', '945000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('76', '기타운영비', '2520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('77', '수확비용', '6300000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('77', '열매선별비용', '945000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('77', '기타운영비', '2520000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('78', '수확비용', '8100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('78', '열매선별비용', '1215000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('78', '기타운영비', '3240000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('79', '수확비용', '8100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('79', '열매선별비용', '1215000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('79', '기타운영비', '3240000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('80', '수확비용', '8100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('80', '열매선별비용', '1215000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('80', '기타운영비', '3240000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('81', '수확비용', '8100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('81', '열매선별비용', '1215000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('81', '기타운영비', '3240000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('82', '수확비용', '10100000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('82', '열매선별비용', '1515000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('82', '기타운영비', '4040000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('83', '수확비용', '14700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('83', '열매선별비용', '2205000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('83', '기타운영비', '5880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('84', '수확비용', '14700000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('84', '열매선별비용', '2205000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('84', '기타운영비', '5880000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('85', '수확비용', '14800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('85', '열매선별비용', '2220000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('85', '기타운영비', '5920000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('86', '수확비용', '14800000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('86', '열매선별비용', '2220000');
INSERT INTO expense_detail_tb (subscription_code, expenditure_content, expenses) VALUES ('86', '기타운영비', '5920000');
